id,created_at,author_id,text,referenced_tweets.retweeted.id,public_metrics.like_count
1456455189762756622,2021-11-05T02:55:51.000Z,836926244876857344,They humped them like an excited platypus and stuck their swollen dinkie into their quaking south mouth.,,0
1456455055536640002,2021-11-05T02:55:19.000Z,480635616,Check out this listing I just added to my #Poshmark closet: 💕 Perry the platypus T-shirt. https://t.co/pOi3V8XcdN #shopmycloset @poshmarkapp,,0
1456454230781407238,2021-11-05T02:52:02.000Z,1392117595818663947,"@fideosfelices Platypus, birb, and maybe chimp? Idk, but you're super cool and one of my fave moots to interact with 😁❤",,1
1456454072446304261,2021-11-05T02:51:25.000Z,1392450551879585801,Seeing offers for FG platypus\n\nLF: dodos/trexes\n\nNO underpays\n\nDONT offer if ull not do it or u wont do it soon\n\n#AMTrading #adoptmetrading #adoptmetrades #Adoptmetrade #adoptmeoffers #adoptme #adoptmeoffering #adoptmeoffer #adoptmegiveaway,,0
1456453385318719493,2021-11-05T02:48:41.000Z,559250850,@AgathaChocolats Now put the platypus over there.,,0
1456453299675152390,2021-11-05T02:48:20.000Z,986489956074848256,@JValor21 @IDWSonicNews Took me a bit to realize that since starline is a platypus that could make him knuckles' imposter. His brains being a play on how often knuckles is shown to be not the brightest.,,1
1456452506544975876,2021-11-05T02:45:11.000Z,530915447,@LitterboxComics Platypus,,0
1456452403125833732,2021-11-05T02:44:47.000Z,1346421859068375042,"@bethie_bunnie @LadyDynaMight No Perry is just a platypus.\n\nYou're thinking of Agent P, who is also named Perry. It's easy to get the two platypi confused.",1456452355549847552,2
1456452355549847552,2021-11-05T02:44:35.000Z,1346421859068375042,"@bethie_bunnie @LadyDynaMight No Perry is just a platypus.\n\nYou're thinking of Agent P, who is also named Perry. It's easy to get the two platypi confused.",,2
1456452334041636867,2021-11-05T02:44:30.000Z,2491965045,"Lmaooooo! One day you think the platypus is the most ridiculous animal, and then you learn that every minute is bullshit o’clock for owls. https://t.co/f12uXR38Ob",1456117687298535424,173
1456451882478678023,2021-11-05T02:42:43.000Z,716129830727786496,@1pckt @LeannEAF @Simple_Shaman @tk_the_kitsune @Cern_lXXl @BlueDragonsFang @WondersNorbit @SBuddie1877 @horusrage @Superior2Logic @TertiusIV @badgervindaloo @MsCredentials @A_Damned_smith @SecularSandwich @zypisfy @zapher134 @Wolfpak561 @StillDizzy2 @RossGilroy @PraiseHisName50 @kester_lowers @MucusMucous @RealAnonDouche @GodflyThe @peter_telecom @EricBonner31 @JLee2027 @Quin4Trump @Tiffany_Stuff @waragoodwarfare @willsworldview @tklforgiven @hauxton @Chortling_Man @pray2pesci @KaasKeizer @JohnKrahn2 @WmManry @SPortoghesi @TakeThatDarwin @Ramirezplayer @oohglobbits5 @Falchion14 @DelSur742 @Janetb172 @HeathenSawyer @CollinOctantis @tarquinrees @tcunderdahl No peer reviewed papers prove God's existence except in your belief.\n\nOh and show how the platypus was designed.,,1
1456451863700590599,2021-11-05T02:42:38.000Z,1047913909116649472,"20 Best MSR Holiday Gifts For Adventurers - Below are some of our favorite items from MSR, Platypus, PackTowel, Seal Line and ThermaRest – 5 Brands, 1 location for all your shopping!\nhttps://t.co/IXMDwHAt1I",,0
1456451624033943552,2021-11-05T02:41:41.000Z,2723172332,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/EPoGHlTCtb #renewableenergy #cleanenergytransition,1456440460076007424,0
1456451370710675459,2021-11-05T02:40:40.000Z,1231314732252004352,📘: im gettin my ass beat by a cross between perry the platypus and inspector gadget,,1
1456450969818910724,2021-11-05T02:39:05.000Z,790202481498132480,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456449632951685126,2021-11-05T02:33:46.000Z,1363458932220436484,@ron_platypus butuh template baru nih buat memuja toto 😔,,0
1456449594980773907,2021-11-05T02:33:37.000Z,385458936,"@shannonpurser I used to have recurring dream as a child about a bipedal, human sized platypus with curly orange hair named Andre the android. He was a good friend.\n\nI've also never spoken of him until just now.",,1
1456449495454007299,2021-11-05T02:33:13.000Z,1093613549388210176,God: you lay eggs.\n\nPlatypus: like a reptile?\n\nGod: yes but you aren’t a reptile.\n\nPlatypus: oh.\n\nGod: and you’re venomous. \n\nPlatypus: [happy gasp] like a reptile?\n\nGod: you aren’t a reptile.\n\nPlatypus: ok I understand.\n\nGod: you do?\n\nPlatypus: I have a reptile dysfunction : (,1456285849352609797,659
1456449413660827650,2021-11-05T02:32:54.000Z,1006566259,@anarchybf You bet I give great hugs ❤️ Also platypus in caps I'm??? ❤️❤️❤️,,1
1456448657708838914,2021-11-05T02:29:54.000Z,1006566259,@heckuvasheep Platypus and moth? 🤔,,1
1456447709146083330,2021-11-05T02:26:08.000Z,1259302610147762176,"@LumioseTrainer None one else can take the Platypus, it's all mine &gt;:)",,0
1456447653445726211,2021-11-05T02:25:54.000Z,987503514850017281,"Dr Doofenschmirtz: ""A platypus?""\n\nPlatypus puts on fedora: ""PERRY the Platypus??""\n\nPerry puts on a straw hat: ""PERRY 𝘿. PLATYPUS???""",1455314834979950602,1047
1456445537000042496,2021-11-05T02:17:30.000Z,14094880,"A2: Recognizing that inclusion ISN'T ""the classroom teacher will look after everyone."" It's ""let's support everyone togehter."" #SaskEdChat  (Does that sound like a platitude? Well, if it's good enough for the platypus... :) )",,2
1456444941534580739,2021-11-05T02:15:08.000Z,713926823793414144,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456444375538585602,2021-11-05T02:12:53.000Z,1138436214992908289,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/tyxzjiu03g #climateaction #solarPV #renewableenergy https://t.co/XKEGiQnLzl,1456440665747902469,0
1456444366663438341,2021-11-05T02:12:51.000Z,1138436214992908289,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/EPoGHlTCtb #renewableenergy #cleanenergytransition,1456440460076007424,0
