date	genre	text	pptw	region
1662	EDUC_TREATISE	jetaylormeas	115.08	south
1662	EDUC_TREATISE	jetaylormeas	115.75	south
1688	LETTERS_PRIV	jopinney	142.14	south
1688	LETTERS_PRIV	jopinney	122.37	south
1688	LETTERS_PRIV	jopinney	133.7	south
1630	TRAVELOGUE	jotaylor	133.16	south
1630	TRAVELOGUE	jotaylor	131.19	south
1630	TRAVELOGUE	jotaylor	140.82	south
1636	LETTERS_PRIV	joxinden	124.02	south
1636	LETTERS_PRIV	joxinden	115.36	south
1686	LETTERS_PRIV	jpinney	91.94	south
1686	LETTERS_PRIV	jpinney	102.15	south
1630	LETTERS_PRIV	jubarring	120.31	south
1630	LETTERS_PRIV	jubarring	104.17	south
1590	PROCEEDINGS_TRIAL	judall	115.96	south
1627	LETTERS_PRIV	knyvett	112.37	south
1627	LETTERS_PRIV	knyvett	108.48	south
1639	LETTERS_PRIV	knyvett	105.8	south
1637	LETTERS_PRIV	koxinden	101.19	south
1637	LETTERS_PRIV	koxinden	98.04	south
1637	LETTERS_PRIV	koxinden	102.36	south
1625	LETTERS_PRIV	kpaston	114.08	south
1625	LETTERS_PRIV	kpaston	112.93	south
1625	LETTERS_PRIV	kpaston	113.57	south
1536	LETTERS_PRIV	kscrope	132.81	south
1585	LETTERS_PRIV	kscrope	112	south
1696	HANDBOOK_OTHER	langf	140.48	south
1696	HANDBOOK_OTHER	langf	142.61	south
1696	HANDBOOK_OTHER	langf	137.22	south
1549	SERMON	latimer	115.23	south
1549	SERMON	latimer	116.74	south
1549	SERMON	latimer	113.45	south
1543	TRAVELOGUE	leland	171.11	south
1543	TRAVELOGUE	leland	177.7	south
1543	TRAVELOGUE	leland	173.55	south
1685	PROCEEDINGS_TRIAL	lisle	87.79	south
1685	PROCEEDINGS_TRIAL	lisle	88.78	south
1685	PROCEEDINGS_TRIAL	lisle	85.7	south
1685	EDUC_TREATISE	locke	124.78	south
1685	EDUC_TREATISE	locke	124.42	south
1685	EDUC_TREATISE	locke	132.76	south
1539	LETTERS_NON-PRIV	lords	101.85	south
1559	DIARY_PRIV	machyn	149.83	south
1559	DIARY_PRIV	machyn	148.4	south
1559	DIARY_PRIV	machyn	147.85	south
1582	DIARY_PRIV	madox	119.83	south
1582	DIARY_PRIV	madox	136.83	south
1582	DIARY_PRIV	madox	122.38	south
1535	LETTERS_PRIV	manners	112.28	south
1537	LETTERS_NON-PRIV	marches	152.75	south
1615	HANDBOOK_OTHER	markham	130.78	south
1615	HANDBOOK_OTHER	markham	129.01	south
1615	HANDBOOK_OTHER	markham	128.86	south
1630	LETTERS_PRIV	masham	109.03	south
1630	LETTERS_PRIV	masham	118.86	south
1630	LETTERS_PRIV	masham	108.5	south
1675	LETTERS_NON-PRIV	memo	146.85	south
1675	LETTERS_NON-PRIV	memo	162.22	south
1526	FICTION	merrytal	113.66	south
1526	FICTION	merrytal	106.91	south
1526	FICTION	merrytal	109.44	south
1678	LETTERS_PRIV	mhatton	127.7	south
1536	LETTERS_PRIV	mhoward	115.62	south
1670	HISTORY	milton	155.1	south
1670	HISTORY	milton	162.07	south
1670	HISTORY	milton	165.42	south
1681	LETTERS_PRIV	montague	111.69	south
1529	LETTERS_PRIV	morelet	123.26	south
1535	LETTERS_PRIV	morelet	123.39	south
1535	LETTERS_PRIV	morelet	131.34	south
1513	HISTORY	moreric	134.23	south
1513	HISTORY	moreric	132.12	south
1513	HISTORY	moreric	134.41	south
1524	LETTERS_NON-PRIV	morewol	151.56	south
1524	LETTERS_NON-PRIV	morewol	137.37	south
1524	LETTERS_NON-PRIV	morewol	123.91	south
1642	LETTERS_PRIV	moxinden	99.4	south
1642	LETTERS_PRIV	moxinden	108.87	south
1534	LETTERS_PRIV	mroper	141.84	south
1534	LETTERS_PRIV	mroper	117.84	south
1534	LETTERS_PRIV	mroper	134.8	south
1515	LETTERS_NON-PRIV	mtudor	135.72	south
1515	LETTERS_NON-PRIV	mtudor	139.83	south
1528	LETTERS_NON-PRIV	mtudor	101.52	south
1505	LETTERS_PRIV	nevill	98.04	south
1631	LETTERS_PRIV	nferrar	112.9	south
1631	LETTERS_PRIV	nferrar	121.43	south
1631	LETTERS_PRIV	nferrar	118.75	south
1706	LETTERS_PRIV	nhadd	143.97	south
1706	LETTERS_PRIV	nhadd	153.55	south
1719	LETTERS_PRIV	nhadd	122.84	south
1685	PROCEEDINGS_TRIAL	oates	95.82	south
1685	PROCEEDINGS_TRIAL	oates	112.45	south
1685	PROCEEDINGS_TRIAL	oates	102	south
1676	LETTERS_NON-PRIV	osborne	147.21	south
1676	LETTERS_NON-PRIV	osborne	142.25	south
1687	FICTION	penny	90.45	south
1687	FICTION	penny	116.1	south
1687	FICTION	penny	112.12	south
1667	DIARY_PRIV	pepys	128.7	south
1667	DIARY_PRIV	pepys	126.75	south
1667	DIARY_PRIV	pepys	128.2	south
1603	BIOGRAPHY_OTHER	perrott	135.64	south
1603	BIOGRAPHY_OTHER	perrott	139.44	south
1603	BIOGRAPHY_OTHER	perrott	146.14	south
1625	LETTERS_PRIV	pettit	124.71	south
1625	LETTERS_PRIV	pettit	118.28	south
1628	LETTERS_PRIV	pettit	155.32	south
1632	LETTERS_PRIV	peyton	105.88	south
1685	LETTERS_PRIV	phenry	124.36	south
1685	LETTERS_PRIV	phenry	133.41	south
1685	LETTERS_PRIV	phenry	114.86	south
1677	LETTERS_NON-PRIV	proposals	151.11	south
1626	LETTERS_PRIV	proud	74.71	south
1636	LETTERS_PRIV	proud	117.02	south
1600	PROCEEDINGS_TRIAL	raleigh	112.03	south
1600	PROCEEDINGS_TRIAL	raleigh	122.62	south
1598	LETTERS_NON-PRIV	rcecil	140.28	south
1598	LETTERS_NON-PRIV	rcecil	160.43	south
1598	LETTERS_NON-PRIV	rcecil	124.89	south
1551	SCIENCE_OTHER	record	130.33	south
1551	SCIENCE_OTHER	record	132.82	south
1551	SCIENCE_OTHER	record	126.99	south
1633	LETTERS_PRIV	rferrar	95.96	south
1692	LETTERS_PRIV	rhaddjr	115.94	south
