"Decade"	"Amp"	"Adjective"	"N.Amp."	"N.Adj."	"OBS"	"EXP"	"Probability"	"CollStrength"	"OddsRatio"	"p"	"attr"	"sig"
"76"	1870	"pretty"	"sensible"	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"77"	1870	"pretty"	"sensitive"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"78"	1870	"pretty"	"serious"	"7"	"47"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"79"	1870	"pretty"	"severe"	"7"	"20"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"80"	1870	"pretty"	"shaky"	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"81"	1870	"pretty"	"shrewd"	"7"	"23"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"82"	1870	"pretty"	"sick"	"7"	"8"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"83"	1870	"pretty"	"significant"	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"84"	1870	"pretty"	"simple"	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"85"	1870	"pretty"	"singular"	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"86"	1870	"pretty"	"smart"	"7"	"70"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"87"	1870	"pretty"	"sociable"	"7"	"8"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"88"	1870	"pretty"	"sorry"	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"89"	1870	"pretty"	"stupid"	"7"	"23"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"90"	1870	"pretty"	"successful"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"91"	1870	"pretty"	"thankful"	"7"	"25"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"92"	1870	"pretty"	"tired"	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"93"	1870	"pretty"	"tiresome"	"7"	"10"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"94"	1870	"pretty"	"uncomfortable"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"95"	1870	"pretty"	"unhappy"	"7"	"45"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"96"	1870	"pretty"	"unnecessary"	"7"	"95"	"2"	"0.1"	0.02	2.29	25.1	"0.005074"	"attr"	"n.s."
"97"	1870	"pretty"	"unreliable"	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"98"	1870	"pretty"	"untidy"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"99"	1870	"pretty"	"useful"	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"100"	1870	"pretty"	"valuable"	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"101"	1870	"pretty"	"weak"	"7"	"93"	"0"	"0.1"	0.02	0	0	"1"	"repel"	"n.s."
"102"	1870	"pretty"	"wealthy"	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"103"	1870	"pretty"	"welcome"	"7"	"485"	"0"	"0.6"	0.08	0	0	"1"	"repel"	"n.s."
"104"	1870	"pretty"	"well"	"7"	"8"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"105"	1870	"pretty"	"worried"	"7"	"47"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"106"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"107"	1870	"pretty"	NA	"7"	"29"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"108"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"109"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"110"	1870	"pretty"	NA	"7"	"44"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"111"	1870	"pretty"	NA	"7"	"11"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"112"	1870	"pretty"	NA	"7"	"313"	"0"	"0.4"	0.05	0	0	"1"	"repel"	"n.s."
"113"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"114"	1870	"pretty"	NA	"7"	"14"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"115"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"116"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"117"	1870	"pretty"	NA	"7"	"66"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"118"	1870	"pretty"	NA	"7"	"19"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"119"	1870	"pretty"	NA	"7"	"109"	"0"	"0.1"	0.02	0	0	"1"	"repel"	"n.s."
"120"	1870	"pretty"	NA	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"121"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"122"	1870	"pretty"	NA	"7"	"131"	"0"	"0.2"	0.02	0	0	"1"	"repel"	"n.s."
