"x"	"y"	"decade"	"verb"	"freq"
"75"	0.442887630117154	-0.0448356610911164	1870	"love"	27.1739130434783
"76"	-0.31329703447337	-0.0033477299608686	1870	"mention"	7.66304347826087
"77"	0.0553188750476343	-0.575455828705895	1870	"miss"	3.85869565217391
"78"	0.545939190827009	0.112189811106832	1870	"need"	51.195652173913
"79"	0.330943727642233	0.102348059142673	1870	"order"	22.8804347826087
"80"	0.562926052245665	0.237486494266654	1870	"prefer"	26.6847826086957
"81"	0.524431680263655	0.2640599939659	1870	"promise"	42.3913043478261
"82"	-0.371767553731502	0.186856973048238	1870	"remember"	69.2934782608696
"83"	0.183440729190599	0.121208524434894	1870	"request"	13.695652173913
"84"	-0.457300266073193	0.124471760985892	1870	"suggest"	19.6739130434783
"85"	-0.403487576961178	0.156219749441185	1870	"suspect"	16.304347826087
