Id	Participant	Group	Item	Response	Gender	Age
929	E069	English_Mono	13	QuantAdjNoun	Male	18
930	E070	English_Mono	15	QuantAdjNoun	Male	18
935	E075	English_Mono	8	QuantAdjNoun	Female	20
936	E076	English_Mono	9	QuantAdjNoun	Female	20
940	E080	English_Mono	15	QuantAdjNoun	Female	20
944	E084	English_Mono	6	QuantAdjNoun	Female	24
946	E086	English_Mono	9	QuantAdjNoun	Female	24
947	E087	English_Mono	11	QuantAdjNoun	Female	24
955	E095	English_Mono	8	QuantAdjNoun	Female	31
956	E096	English_Mono	9	QuantAdjNoun	Female	31
960	E100	English_Mono	15	QuantAdjNoun	Female	31
964	E104	English_Mono	6	QuantAdjNoun	Female	28
966	E106	English_Mono	9	QuantAdjNoun	Female	28
967	E107	English_Mono	11	QuantAdjNoun	Female	28
970	E110	English_Mono	15	QuantAdjNoun	Female	28
974	E114	English_Mono	6	QuantAdjNoun	Female	25
976	E116	English_Mono	9	QuantAdjNoun	Female	25
977	E117	English_Mono	11	QuantAdjNoun	Female	25
980	E120	English_Mono	15	QuantAdjNoun	Female	25
984	E124	English_Mono	6	QuantAdjNoun	Female	20
986	E126	English_Mono	9	QuantAdjNoun	Female	20
994	E134	English_Mono	6	QuantAdjNoun	Female	18
996	E136	English_Mono	9	QuantAdjNoun	Female	18
1006	E146	English_Mono	9	QuantAdjNoun	Male	26
1014	E154	English_Mono	6	QuantAdjNoun	Female	20
1016	E156	English_Mono	9	QuantAdjNoun	Female	20
1017	E157	English_Mono	11	QuantAdjNoun	Female	20
1024	E164	English_Mono	6	QuantAdjNoun	Female	19
1026	E166	English_Mono	9	QuantAdjNoun	Female	19
1034	E174	English_Mono	6	QuantAdjNoun	Male	24
1035	E175	English_Mono	8	QuantAdjNoun	Male	24
1036	E176	English_Mono	9	QuantAdjNoun	Male	24
1040	E180	English_Mono	15	QuantAdjNoun	Male	24
1046	E186	English_Mono	9	QuantAdjNoun	Female	30
1051	E191	English_Mono	1	QuantAdjNoun	Female	29
1054	E194	English_Mono	6	QuantAdjNoun	Female	29
1055	E195	English_Mono	8	QuantAdjNoun	Female	29
1056	E196	English_Mono	9	QuantAdjNoun	Female	29
1060	E200	English_Mono	15	QuantAdjNoun	Female	29
1064	E204	English_Mono	6	QuantAdjNoun	Male	24
1066	E206	English_Mono	9	QuantAdjNoun	Male	24
1067	E207	English_Mono	11	QuantAdjNoun	Male	24
1074	E214	English_Mono	6	QuantAdjNoun	Male	28
1076	E216	English_Mono	9	QuantAdjNoun	Male	28
1077	E217	English_Mono	11	QuantAdjNoun	Male	28
1084	E224	English_Mono	6	QuantAdjNoun	Male	24
1086	E226	English_Mono	9	QuantAdjNoun	Male	24
1088	E228	English_Mono	12	QuantAdjNoun	Male	24
1089	E229	English_Mono	13	QuantAdjNoun	Male	24
